root@nfsclient:/home/vedams/iozone3_394/src/current# iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Iozone: Performance Test of File I/O
                Version $Revision: 3.429 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa.
addition
        Run began: Wed Feb 22 18:06:58 2017

        Auto Mode
        Include close in write timing
        Cross over of record size disabled.
        Excel chart generation enabled
        Using maximum file size of 2097152 kilobytes.
        Command line used: iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                   
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           16384      16    73669    78532   629525   570969   118724    73116    73211   2846964    255624    76972    77125   715151   742328
           16384      32    75793    79308   722877   642761   177055    74118   142023   2864289    356421    72905    75614   719916   746287
           16384      64    75943    79006   673715   630929   307518    77023   179580   2741234    422159    73657    77698   544732   732181
           16384     128    74742    77773   323314   669801   393240    78342   299262   2407931    494417    77352    77282   684001   593003
           16384     256    78657    76951   646061   796001   486231    78172   436802   1785347    585415    78848    77386   589564   656880
           16384     512    41213    65954   720112   637834   523398    65128   450121   1454047    643948    64820    67493   601026   558723
           16384    1024    73172    78670   673299   751222   563353    74453   560427    896222   1709703    75303    76385   632538   607917
           16384    2048    73585    69501   774846   797507   622420    74139   542928    575565   1494785    72374    74570   650932   514091
           16384    4096    74758    76021   954665  1156741   556505    73001   586084    333808    941403    72342    76180   557318   514834
           16384    8192    73209    75650  1499940  1200826   543775    73594   656015    167238    583412    71987    71366   598613   526784
           16384   16384    71796    77658  2187695  2263949   656040    74497   574271     68886    593238    74786    58041   623770   498553
           32768       4    76878    79877   618217   482250    29647    49977    17599   2878676     86608    77767    79829   690738   602795
           32768       8    80809    81956   644911   690943    54391    80910    37650   3509784    172033    81574    80820   678610   658693
           32768      16    80512    82157   676466   750012   108632    81327    70332   3364906    273337    80354    82046   691555   662114
           32768      32    79113    80805   702980   685051   213012    79305   118989   3379884    366560    76584    79655   589841   697575
           32768      64    78404    80726   655201   660177   286215    81203   181936   3370848    439456    80621    81478   642280   674488
           32768     128    70068    71025   682665   695890   383507    71794   313764   2926549    526620    70996    70432   676619   678286
           32768     256    79175    80641   698585   681332   474533    82326   438532   2513477    599696    79645    80444   639486   690391
           32768     512    79231    81774   692475   616656   487234    49763   506359   2048001    422704    73628    82582   454941   639325
           32768    1024    78079    78860   613791   613205   418204    75442   506530   1413387    605266    78896    71684   631088   488746
           32768    2048    77987    75641   664894   744148   502422    80218   509722    899105   2120061    78685    77813   546625   555033
           32768    4096    78189    79415   641264   878171   548225    78651   653802    541324   1093512    48745    79120   567676   635098
           32768    8192    69235    71470   836024   863110   585739    69134   586169    208720   1150320    70864    69896   574433   656541
           32768   16384    77742    68114  1236341  1100261   618440    80930   621831    143911    888624    77034    78260   591800   578296
           65536       4    70914    74759   697088   622202    32111    73151    17849   2771427     82528    75016    73404   691308   705941
           65536       8    77182    78939   718778   725277    53310    78446    34170   3926669    138840    75938    76833   696369   635919
           65536      16    77933    79319   691139   728364    95832    60523    68413   3738472    255825    79773    81764   707831   693408
           65536      32    78574    81357   659137   665515   178989    80505   141244   3810033    342231    79347    78357   596373   655977
